"Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"PD (Up)","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","19/311","250/9400",0.076,2.29710610932476,3.8450140381975,0.000625328275760511,0.034072915523252,0.034072915523252,"RAB11FIP3/HSPA8/EPS15/EGFR/AGAP1/HSPA1A/GRK3/RAB31/DNM3/PSD2/NEDD4L/WIPF2/HSPA1B/ARAP2/ASAP2/ACAP3/ARRB1/ARAP1/EPS15L1",19
"PD (Up)","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","17/311","212/9400",0.080188679245283,2.42370927622399,3.87830285121521,0.00065742027870515,0.034072915523252,0.034072915523252,"TLN2/BRAF/SIPA1L3/EGFR/MAGI3/FGFR1/RAPGEF3/VEGFA/EFNA5/RAF1/PRKD1/VAV3/AKT2/PDGFRB/RAPGEF2/ADCY8/MAGI1",17
"PD (Up)","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","18/311","232/9400",0.0775862068965517,2.34504934028163,3.83714201973145,0.000679516833797048,0.034072915523252,0.034072915523252,"GNG12/BRAF/EGFR/ABI2/ARHGAP35/SOS1/DOCK1/FGFR1/ITGB5/RAF1/PPP1R12B/VAV3/BAIAP2/AKT2/PDGFRB/PTK2/ITGB8/SSH1",18
"PD (Up)","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","16/311","203/9400",0.0788177339901478,2.38227234568292,3.6828286476904,0.00113119714914828,0.0485454996890722,0.0485454996890722,"TLN2/BRAF/EGFR/ARHGAP35/SOS1/DOCK1/FYN/VEGFA/ITGB5/RAF1/PPP1R12B/VAV3/AKT2/PDGFRB/PTK2/ITGB8",16
"PD (Up)","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","9/311","80/9400",0.1125,3.40032154340836,3.98813111578258,0.0012447564022839,0.0485454996890722,0.0485454996890722,"BRAF/EGFR/SOS1/GAB1/VEGFA/RAF1/AKT2/PDGFRB/NF1",9
"PD (Down)","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","38/320","268/9400",0.141791044776119,4.16511194029851,9.86839238737134,4.03525777612817e-14,1.41637547942099e-11,1.41637547942099e-11,"PSMD7/MT-ND5/MT-ND4/PARK7/TUBB2B/GNAI2/MT-CO1/UQCRFS1/CALM1/MAOB/NDUFA5/ITPR1/MT-ATP6/PSMB1/NDUFS3/MT-ND3/NDUFB5/CALM3/MT-CYB/SLC39A14/MT-ND2/COX5B/UBB/TUBA1A/SLC25A5/UBC/MT-ND1/MT-ND4L/UBA52/PSMA7/PSMB5/TUBB4B/TUBB2A/TUBB/MT-CO3/TUBA1B/PINK1/MT-CO2",38
"PD (Down)","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","29/320","275/9400",0.105454545454545,3.09772727272727,6.62783708273685,5.3402036374724e-08,9.37205738376406e-06,9.37205738376406e-06,"PSMD7/MT-ND5/MT-ND4/TUBB2B/MT-CO1/UQCRFS1/NDUFA5/ITPR1/MT-ATP6/PSMB1/NDUFS3/MT-ND3/NDUFB5/MT-CYB/MT-ND2/COX5B/PRNP/TUBA1A/SLC25A5/MT-ND1/MT-ND4L/PSMA7/PSMB5/TUBB4B/TUBB2A/TUBB/MT-CO3/TUBA1B/MT-CO2",29
"PD (Down)","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","35/320","388/9400",0.0902061855670103,2.64980670103093,6.23033249341247,1.12764287521367e-07,1.31934216399999e-05,1.31934216399999e-05,"PSMD7/MT-ND5/MT-ND4/TUBB2B/MT-CO1/UQCRFS1/CALM1/NDUFA5/ITPR1/MT-ATP6/PSMB1/NDUFS3/MT-ND3/NDUFB5/GAPDH/KRAS/CALM3/MT-CYB/SLC39A14/MT-ND2/COX5B/TUBA1A/SLC25A5/MT-ND1/MT-ND4L/PSMA7/PSMB5/TUBB4B/TUBB2A/TUBB/MT-CO3/APOE/TUBA1B/APH1B/MT-CO2",35
"PD (Down)","Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","19/320","138/9400",0.13768115942029,4.04438405797101,6.76331295331751,1.93784444746448e-07,1.4079506987282e-05,1.4079506987282e-05,"MT-ND5/MT-ND4/MT-CO1/UQCRFS1/NDUFA5/MT-ATP6/PPA1/NDUFS3/MT-ND3/NDUFB5/MT-CYB/ATP6V0B/MT-ND2/COX5B/MT-ND1/ATP6V0E2/MT-ND4L/MT-CO3/MT-CO2",19
"PD (Down)","Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","25/320","227/9400",0.110132158590308,3.23513215859031,6.39931264623976,2.0056277759661e-07,1.4079506987282e-05,1.4079506987282e-05,"MT-ND5/MT-ND4/MT-CO1/UQCRFS1/NDUFA5/EPHX1/MT-ATP6/NDUFS3/MT-ND3/SOD2/NDUFB5/KRAS/MT-CYB/MT-ND2/COX5B/MGST3/NFKBIA/SLC25A5/MT-ND1/MT-ND4L/GSTM3/MAP3K14/MT-CO3/CBR1/MT-CO2",25
