"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","contrast","celltype"
2.3533482118815e-44,0.755747681436264,0.655,0.455,7.00568229195002e-40,"TMEM241","AD_vs_PD","Astrocyte"
1.07791237236232e-43,1.29580752449,0.405,0.194,3.2088373412854e-39,"JUNB","AD_vs_PD","Astrocyte"
2.59072960920474e-43,0.920956221784119,0.559,0.351,7.71234297364159e-39,"MT1F","AD_vs_PD","Astrocyte"
5.17117740441383e-43,1.2446659859217,0.39,0.175,1.53940780151995e-38,"A2ML1-AS1","AD_vs_PD","Astrocyte"
4.52464671875043e-42,0.588117462295201,0.786,0.564,1.34694208170482e-37,"GAPDH","AD_vs_PD","Astrocyte"
4.40035483753297e-41,-1.28125673959062,0.156,0.354,1.30994163158519e-36,"USP9Y","AD_vs_PD","Astrocyte"
1.8962212778375e-40,0.512946243981117,0.808,0.654,5.64486112199445e-36,"SLC14A1","AD_vs_PD","Astrocyte"
4.07397684793991e-40,-1.13735323380446,0.218,0.416,1.21278216786323e-35,"SPATA6L","AD_vs_PD","Astrocyte"
6.84060400918379e-40,1.55273377702651,0.307,0.124,2.03637940749392e-35,"MT1P3","AD_vs_PD","Astrocyte"
7.3913418055222e-40,1.05963476209831,0.445,0.232,2.2003285420859e-35,"HINT1","AD_vs_PD","Astrocyte"
2.34478788712934e-39,0.788736851848642,0.58,0.358,6.98019906119533e-35,"AC244669.1","AD_vs_PD","Astrocyte"
4.51478840956921e-39,1.64494645485883,0.27,0.094,1.34400736164466e-34,"AC007193.2","AD_vs_PD","Astrocyte"
1.93708771289974e-38,-0.927144898335829,0.467,0.557,5.76651641253125e-34,"HSPH1","AD_vs_PD","Astrocyte"
5.15412939348982e-37,1.23564333138474,0.375,0.187,1.53433277914798e-32,"RGCC","AD_vs_PD","Astrocyte"
1.06676425457362e-36,-0.765540305637678,0.53,0.613,3.1756505094402e-32,"BAG3","AD_vs_PD","Astrocyte"
1.45567477817622e-36,1.05928135094305,0.395,0.194,4.33339824715279e-32,"FN1","AD_vs_PD","Astrocyte"
1.6151629792863e-36,1.74868655747086,0.239,0.078,4.80817867303737e-32,"LINC00903","AD_vs_PD","Astrocyte"
3.3888178064552e-36,0.652339975727038,0.669,0.462,1.00881717280365e-31,"PCDH9-AS2","AD_vs_PD","Astrocyte"
3.71183433270719e-36,-0.801132968859247,0.373,0.561,1.1049759625036e-31,"ARHGAP24","AD_vs_PD","Astrocyte"
1.22010358692069e-35,0.538727715998929,0.78,0.57,3.63212636790421e-31,"CD81","AD_vs_PD","Astrocyte"
1.23442797902109e-35,0.647758744322599,0.653,0.468,3.67476865074788e-31,"CYSTM1","AD_vs_PD","Astrocyte"
2.41077460278345e-35,-1.23684385016794,0.283,0.436,7.17663491502606e-31,"SH3BGR","AD_vs_PD","Astrocyte"
4.70003873546113e-35,0.683659911134289,0.646,0.457,1.39915453115942e-30,"S100A1","AD_vs_PD","Astrocyte"
6.12403413322496e-35,0.726440439068692,0.605,0.413,1.82306372111974e-30,"SERF2","AD_vs_PD","Astrocyte"
6.55537332164119e-35,0.637941640111676,0.673,0.506,1.95146908411937e-30,"PRDX1","AD_vs_PD","Astrocyte"
1.19926832847028e-34,0.962451725084959,0.434,0.237,3.57010188702318e-30,"C1orf122","AD_vs_PD","Astrocyte"
1.58817898265098e-34,1.47461458953384,0.276,0.109,4.7278500134537e-30,"AC093305.1","AD_vs_PD","Astrocyte"
1.92782346111916e-34,-1.87724256065489,0.068,0.21,5.73893766140564e-30,"HSPE1-MOB4","AD_vs_PD","Astrocyte"
3.24930403070376e-34,1.62443466563245,0.243,0.085,9.67285316900201e-30,"ITPKB-AS1","AD_vs_PD","Astrocyte"
3.36978433368552e-34,1.14646825123765,0.356,0.169,1.00315109829484e-29,"DPP10-AS3","AD_vs_PD","Astrocyte"
4.059512312688e-34,0.994399646204991,0.423,0.228,1.20847622036409e-29,"GJB6","AD_vs_PD","Astrocyte"
6.00779100863673e-34,0.887983317855034,0.506,0.324,1.78845930536107e-29,"NDUFB2","AD_vs_PD","Astrocyte"
7.99888890361103e-34,1.30778916846534,0.316,0.142,2.38118923771597e-29,"AC093535.1","AD_vs_PD","Astrocyte"
9.17138317187216e-34,1.41801211761788,0.275,0.108,2.73022905643462e-29,"AC012085.2","AD_vs_PD","Astrocyte"
1.07418780636708e-33,-1.02262295418625,0.343,0.471,3.19774968077416e-29,"DNAJB1","AD_vs_PD","Astrocyte"
2.94195050574787e-33,0.814482773229216,0.557,0.386,8.75789246056083e-29,"DBI","AD_vs_PD","Astrocyte"
2.94963503650635e-33,-0.719155667686539,0.403,0.562,8.78076854017574e-29,"CERS6","AD_vs_PD","Astrocyte"
4.72328787662285e-33,-1.00321987292595,0.25,0.428,1.40607556799186e-28,"OSBPL3","AD_vs_PD","Astrocyte"
7.29388580470886e-33,0.731883629581556,0.559,0.368,2.17131686520378e-28,"PDXDC1","AD_vs_PD","Astrocyte"
1.02827728315911e-32,0.974690920325785,0.418,0.232,3.06107864423636e-28,"ERLEC1","AD_vs_PD","Astrocyte"
4.65831331927651e-32,1.1930450485185,0.356,0.186,1.38673329201542e-27,"TXNIP","AD_vs_PD","Astrocyte"
5.59589015787135e-32,0.613417038342662,0.657,0.46,1.66584054109672e-27,"RAB11A","AD_vs_PD","Astrocyte"
9.66925002172385e-32,1.28370614448637,0.299,0.131,2.87843903896697e-27,"STARD13-AS","AD_vs_PD","Astrocyte"
1.49962798098215e-31,0.838253609243671,0.461,0.258,4.46424253658576e-27,"PSMD5-AS1","AD_vs_PD","Astrocyte"
1.89479766955213e-31,0.763974038789617,0.56,0.388,5.64062318248973e-27,"ENHO","AD_vs_PD","Astrocyte"
2.26605549739449e-31,0.535374431207866,0.711,0.555,6.74582061019365e-27,"OSBPL11","AD_vs_PD","Astrocyte"
3.12480849599789e-31,1.31721095110905,0.303,0.141,9.30224241173613e-27,"ARMC3","AD_vs_PD","Astrocyte"
5.3768376689481e-31,0.797515629038602,0.488,0.293,1.60063080566916e-26,"FBXO2","AD_vs_PD","Astrocyte"
8.21783865132551e-31,0.806331998054096,0.493,0.296,2.44636838811309e-26,"PRKCA-AS1","AD_vs_PD","Astrocyte"
1.74944017953899e-30,1.34027708842345,0.261,0.103,5.20790847046962e-26,"IL7","AD_vs_PD","Astrocyte"
2.88407418251013e-30,0.788969349405459,0.502,0.305,8.58560043391442e-26,"PDE5A","AD_vs_PD","Astrocyte"
4.38041252137218e-30,0.611485546783299,0.619,0.432,1.30400500348728e-25,"HDDC2","AD_vs_PD","Astrocyte"
4.49489479634938e-30,0.660239785350755,0.594,0.411,1.33808523192525e-25,"SRI","AD_vs_PD","Astrocyte"
4.88779061513488e-30,0.603054518342937,0.638,0.453,1.4550463882195e-25,"RASSF4","AD_vs_PD","Astrocyte"
5.40315369362386e-30,1.33287557241144,0.278,0.122,1.60846482305489e-25,"AC018682.1","AD_vs_PD","Astrocyte"
5.53489243802213e-30,0.605055483028039,0.625,0.438,1.64768212987481e-25,"FRG1HP","AD_vs_PD","Astrocyte"
6.92785287705914e-30,1.16622266907189,0.329,0.165,2.06235252297174e-25,"MRPL34","AD_vs_PD","Astrocyte"
1.42126501390836e-29,0.919236603050773,0.409,0.23,4.23096381990381e-25,"COX5B","AD_vs_PD","Astrocyte"
1.59219869832171e-29,1.15822846509712,0.329,0.164,4.7398163050339e-25,"H2AFZ","AD_vs_PD","Astrocyte"
3.06814242240596e-29,0.614168333617436,0.624,0.465,9.1335531772603e-25,"MYBPC1","AD_vs_PD","Astrocyte"
1.02042482489545e-28,-0.628708684755475,0.489,0.615,3.03770266123127e-24,"EPHB1","AD_vs_PD","Astrocyte"
1.72599807618884e-28,1.10029793303655,0.33,0.169,5.13812367300655e-24,"AP000787.1","AD_vs_PD","Astrocyte"
2.34526690913864e-28,1.00889166569745,0.353,0.183,6.98162506181483e-24,"NFKBIA","AD_vs_PD","Astrocyte"
2.48846564839993e-28,0.69433417952087,0.568,0.394,7.40791338872175e-24,"COX4I1","AD_vs_PD","Astrocyte"
2.59055262316965e-28,0.907460879716842,0.406,0.235,7.71181610391373e-24,"SRSF7","AD_vs_PD","Astrocyte"
2.70811943267242e-28,0.712709979529924,0.532,0.357,8.06180073912253e-24,"NUPR1","AD_vs_PD","Astrocyte"
2.75650851781014e-28,0.550649810782533,0.657,0.494,8.20585020666902e-24,"EIF1","AD_vs_PD","Astrocyte"
3.00491196131402e-28,0.548071451552505,0.672,0.512,8.94532241763572e-24,"PTMA","AD_vs_PD","Astrocyte"
4.25896366314154e-28,0.910760302896951,0.434,0.266,1.26785089288061e-23,"JUND","AD_vs_PD","Astrocyte"
4.3329656290032e-28,-1.32391051904968,0.155,0.3,1.28988053809796e-23,"LINC00854","AD_vs_PD","Astrocyte"
1.29844335015954e-27,0.775220503854595,0.467,0.281,3.86533600908993e-23,"FAM13C","AD_vs_PD","Astrocyte"
1.35351739253107e-27,1.12598891821693,0.314,0.155,4.02928592582575e-23,"MAK","AD_vs_PD","Astrocyte"
1.37750238300101e-27,1.04201574474384,0.327,0.164,4.1006868439557e-23,"AP003086.2","AD_vs_PD","Astrocyte"
1.65367673377784e-27,0.774525538479176,0.487,0.317,4.92283026878325e-23,"S100A6","AD_vs_PD","Astrocyte"
1.71430880375402e-27,0.810689992713544,0.467,0.298,5.10332587789534e-23,"GABARAPL2","AD_vs_PD","Astrocyte"
3.84169385568405e-27,0.562019457674154,0.639,0.474,1.14363384389858e-22,"DECR1","AD_vs_PD","Astrocyte"
5.19538590146648e-27,1.24142221586569,0.278,0.128,1.54661442900756e-22,"KRT10","AD_vs_PD","Astrocyte"
5.27428842362773e-27,0.854271393600251,0.429,0.254,1.57010292082974e-22,"AL078459.1","AD_vs_PD","Astrocyte"
5.43696865405814e-27,0.577601818375004,0.59,0.396,1.61853119862657e-22,"SCRG1","AD_vs_PD","Astrocyte"
