"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","celltype","contrast","direction"
"GO:0019730","antimicrobial humoral response","8/283","24/8692",0.333333333333333,10.2379269729093,8.31336044554585,5.34496683937043e-07,0.000236568232310535,0.000236568232310535,"HLA-E/CXCL14/GAPDH/HMGN2/LGALS3/RPS19/B2M/HLA-A",8,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0070482","response to oxygen levels","21/283","191/8692",0.109947643979058,3.37690784970307,6.09326318502008,9.46662189143489e-07,0.000380902440831735,0.000380902440831735,"MT-ND1/MT-CO2/CHCHD2/TMBIM6/MT-ND2/MT-CYB/ANGPTL4/MT-ND4/SMAD3/AQP1/SOD2/FAS/PML/NDRG1/MT-ATP6/FGFR2/CD38/MT-ND5/ENO1/MT-CO1/EPAS1",21,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0042063","gliogenesis","18/283","146/8692",0.123287671232877,3.78663052422673,6.22917153141465,1.09444862575569e-06,0.000403669134799558,0.000403669134799558,"SERPINE2/GFAP/DAB2IP/PLEC/TUBA1A/TNFRSF1A/LGI4/GPC1/ADGRG1/METRN/ATP1B2/NDRG1/SOX9/PTN/ERBB2/EEF2/GSTP1/IL33",18,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0009617","response to bacterium","23/283","234/8692",0.0982905982905983,3.01887590226813,5.74301074744364,2.05516464976758e-06,0.000606410582658089,0.000606410582658089,"HLA-E/DAB2IP/TRIM5/TNFRSF1A/ZFP36/CASP7/SIRPA/ISG15/AKAP12/COLEC12/HMGB2/SMAD3/AQP1/VIM/RPS19/SOD2/B2M/FGFR2/NOD1/HLA-A/GSTP1/IL33/SYT11",23,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0048525","negative regulation of viral process","9/283","40/8692",0.225,6.91060070671378,6.87320469596887,4.075416887915e-06,0.00100209973032843,0.00100209973032843,"STAT1/MX1/PLSCR1/ZFP36/ISG15/IFITM3/BST2/IFIT1/IFI16",9,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0001525","angiogenesis","25/283","281/8692",0.0889679715302491,2.73254278636369,5.41588243773661,4.50885597825846e-06,0.00105032613472484,0.00105032613472484,"NRP1/GLUL/DAB2IP/ACTG1/STAT1/FGF2/CHI3L1/BSG/ANGPTL4/CD47/PKM/F3/AQP1/GADD45A/ADGRG1/NCL/GNAI2/PML/ARHGAP24/C3/MYH9/FGFR2/IGFBP7/ERBB2/EPAS1",25,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0043066","negative regulation of apoptotic process","32/283","419/8692",0.0763723150357995,2.34568255226562,5.17933541939161,5.46163228696265e-06,0.00120865922510483,0.00120865922510483,"CD44/NRP1/ARHGDIA/TMBIM6/IFI6/ITGA6/IFIT3/FGF2/MCL1/PEA15/ANGPTL4/LGALS3/SMAD3/AQP1/SOD2/GNAI2/FAS/RETREG1/CD74/YBX3/PTTG1IP/FGFR2/SOX9/SOCS3/ERBB2/FSTL1/CD38/ENO1/TMBIM1/GRINA/PRNP/GSTP1",32,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0022904","respiratory electron transport chain","12/283","79/8692",0.151898734177215,4.66538444335108,6.00360030238228,8.19481725480423e-06,0.00164864823498925,0.00164864823498925,"MT-ND1/MT-CO2/CHCHD2/PLEC/MT-ND2/MT-ND3/MT-CYB/MT-ND4/MT-CO3/MT-ND4L/MT-ND5/MT-CO1",12,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0071345","cellular response to cytokine stimulus","30/283","393/8692",0.0763358778625954,2.34456342891053,5.00403805730456,1.10597487154196e-05,0.00212337330292789,0.00212337330292789,"CD44/DAB2IP/PARP14/STAT1/TNFRSF1A/IFIT3/MX1/CHI3L1/GAPDH/ZFP36/EZR/PARP9/SIRPA/ISG15/AKAP12/CD47/F3/OSMR/FAS/CD74/IFITM3/ZFP36L2/YBX3/SOX9/SOCS3/DPYSL3/IFIT1/GSTP1/IFI16/IL33",30,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0031347","regulation of defense response","32/283","438/8692",0.0730593607305936,2.24392919954177,4.90068063857442,1.36461054854207e-05,0.00212337330292789,0.00212337330292789,"HLA-E/LAMP1/DAB2IP/PARP14/SERPING1/STAT1/TRIM5/TNFRSF1A/PLSCR1/PARP9/SIRPA/ISG15/HLA-C/CD47/HMGB2/MFHAS1/CD81/SMAD3/OSMR/RPS19/B2M/PML/C3/ALPK1/TRIM22/NOD1/HLA-A/GSTP1/AGT/IFI16/IL33/SYT11",32,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0060429","epithelium development","29/283","391/8692",0.0741687979539642,2.27800421136345,4.74363618435221,2.68510107370868e-05,0.00335626991264957,0.00335626991264957,"CD44/NRP1/TXNIP/PLEC/ACTG1/STAT1/TNFRSF1A/NDRG4/CBR1/FGF2/CLIC4/ZFP36/EZR/CNN3/BSG/ACTB/RHOC/LGALS3/SMAD3/AQP1/TUBB/ARHGAP24/FGFR2/SOX9/FSTL1/PSAP/DDR1/GSTM3/AGT",29,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0051607","defense response to virus","17/283","168/8692",0.101190476190476,3.10794211677604,5.06113029434648,3.14558490318584e-05,0.00366377862671066,0.00366377862671066,"IFI6/STAT1/TRIM5/IFIT3/MX1/PLSCR1/PARP9/ISG15/PML/IFITM3/IFI44L/BST2/TRIM22/RPSA/MAP3K14/IFIT1/IFI16",17,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0002831","regulation of response to biotic stimulus","25/283","316/8692",0.0791139240506329,2.42988773091202,4.74988465208536,3.43213128839207e-05,0.00387171874436784,0.00387171874436784,"HLA-E/LAMP1/DAB2IP/PARP14/SERPING1/STAT1/TRIM5/PLSCR1/PARP9/SIRPA/ISG15/HLA-C/HMGB2/MFHAS1/SMAD3/RPS19/B2M/PML/C3/ALPK1/TRIM22/NOD1/HLA-A/IFI16/SYT11",25,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0051129","negative regulation of cellular component organization","32/283","469/8692",0.0682302771855011,2.09560978549956,4.47489753323578,5.29656452352261e-05,0.00549508535671772,0.00549508535671772,"FEZ2/IFI6/LMOD1/TNFRSF1A/RPL7A/PMP22/CST3/PLSCR1/RPL28/GAPDH/SIRPA/TIMP3/LIMK2/ANGPTL4/CD47/RPL15/LGALS3/RPL13/MTPN/B2M/PML/APC2/ARHGAP24/SOX9/FAM107A/RPL18/DPYSL3/CD38/PRNP/IFI16/TERF2IP/SYT11",32,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0071385","cellular response to glucocorticoid stimulus","6/283","22/8692",0.272727272727273,8.37648570510761,6.3548779391087,5.42679869759749e-05,0.00549508535671772,0.00549508535671772,"MT-ND3/ZFP36/AQP1/ZFP36L2/FAM107A/GSTP1",6,"Astrocyte","AD_vs_Ctrl","Down"
