"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"PD (Down)","GO:0043068","positive regulation of programmed cell death","35/511","292/8692",0.11986301369863,2.0388440607994,4.51278114934841,4.12863576933271e-05,0.00323933487248941,0.00323933487248941,"CLU/BTG1/STUB1/PARP1/TMEM164/FIS1/AKAP12/ITPR1/PML/F3/GADD45B/LGALS1/NUPR1/BNIP3/SOD2/RIPK1/NOD1/TSC22D1/RHOB/DAB2IP/UBB/PRNP/AGT/ITM2C/PNMA2/C1QBP/RACK1/TCTN3/DDX3X/GADD45A/ITGA6/TXNIP/ARL6IP5/ID3/RPS3",35
"PD (Down)","GO:0046390","ribose phosphate biosynthetic process","18/511","107/8692",0.168224299065421,2.86145911443569,4.84191732321202,4.53397753698247e-05,0.00337048319888353,0.00337048319888353,"MT-ND5/MT-ND4/GUK1/PARP1/ENO1/NDUFA5/MT-ATP6/ADCYAP1R1/NDUFS3/MT-ND3/NDUFB5/TMSB4X/MT-ND2/MT-ND1/MT-ND4L/NME3/ALDOA/PINK1",18
"PD (Down)","GO:0009636","response to toxic substance","20/511","127/8692",0.15748031496063,2.67870625760821,4.76271961323317,4.64526604455254e-05,0.00337048319888353,0.00337048319888353,"PARK7/FIS1/ALDH2/SELENOS/EPHX1/SNN/SOD2/SELENOF/MT-CYB/GPX4/SELENOT/MGST3/PNKD/PRDX1/GSTM3/UBA52/GSTP1/ADH5/APOE/PINK1",20
"PD (Down)","GO:0034097","response to cytokine","47/511","444/8692",0.105855855855856,1.80058532113327,4.32779728972415,5.30067791687858e-05,0.00372393658096898,0.00372393658096898,"ASAH1/PSMD7/BST2/ISG15/JAK1/PLSCR1/CD47/MX1/CEBPB/IFI16/CALM1/YBX3/OSMR/AKAP12/PML/F3/ACKR3/TIMP3/ZFP36/PSMB1/GAPDH/RIPK1/KRAS/TMSB4X/CIB1/PARP9/DAB2IP/ZFP36L2/STAT1/RHOA/TUBA1A/CD74/ZFP36L1/NFKBIA/DPYSL3/SOCS3/IFITM3/CD38/HES1/GSTP1/PSMA7/PSMB5/IFIT1/CFL1/IFIT3/PARP14/SOX9",47
"PD (Down)","GO:0002683","negative regulation of immune system process","32/511","261/8692",0.122605363984674,2.0854908488352,4.44988722070907,5.68220206054817e-05,0.00392959786249785,0.00392959786249785,"CD59/FN1/CLU/HLA-E/SDC4/BST2/ISG15/PHPT1/ID2/CEBPB/SERPING1/IFI16/PARP1/SYT11/MFHAS1/HLA-A/SELENOS/YWHAE/LGALS1/PSMB1/LGALS3/TSC22D1/TMEM176B/DAB2IP/PRNP/C1QBP/RPS19/PSMA7/VSIR/PARP14/TMBIM6/SOX9",32
"PD (Down)","GO:1901740","negative regulation of myoblast fusion","10/511","39/8692",0.256410256410256,4.36148326559285,5.25801758107874,6.09852039178361e-05,0.00408970473545974,0.00408970473545974,"RPL7A/RPL41/RPL13/RPL28/RPL15/RPL18/UBA52/RPL29/RPL19/RPL8",10
"PD (Down)","GO:0062197","cellular response to chemical stress","26/511","194/8692",0.134020618556701,2.27966187180987,4.50484508059543,6.41840606226416e-05,0.00409963525324244,0.00409963525324244,"PARK7/XRCC6/PNPLA8/PARP1/YBX3/SELENOS/PML/GPR37L1/ADCYAP1R1/BNIP3/SOD2/AQP1/RIPK1/RHOB/STK24/FADS2/GPX4/PLEC/ZFP36L1/PRDX1/RACK1/DDX3X/CFL1/PINK1/CHCHD2/RPS3",26
"PD (Down)","GO:0071364","cellular response to epidermal growth factor stimulus","9/511","32/8692",0.28125,4.78400195694716,5.35931796439957,6.48383343260214e-05,0.00409963525324244,0.00409963525324244,"ZFP36/EEF1A1/DAB2IP/ZFP36L2/ZFP36L1/ERBB2/GSTP1/CFL1/SOX9",9
"PD (Down)","GO:0031347","regulation of defense response","46/511","438/8692",0.105022831050228,1.78641574850995,4.22084256607916,7.73502661144164e-05,0.00475489274753343,0.00475489274753343,"TRIM5/C3/HLA-E/ISG15/PARK7/PLSCR1/CD47/XRCC6/CEBPB/B2M/SERPING1/IFI16/HMGB2/PARP1/LAMP1/SYT11/MFHAS1/HLA-A/OSMR/SELENOS/HLA-C/PML/YWHAE/LGALS1/NUPR1/MGLL/RIPK1/NOD1/TMSB4X/PARP9/DAB2IP/NLRP1/STAT1/AGT/NFKBIA/CD81/C1QBP/RPS19/DDX3X/GSTP1/TMEM219/ZDHHC3/TRIM22/APOE/VPS35/PARP14",46
"PD (Down)","GO:0071384","cellular response to corticosteroid stimulus","8/511","26/8692",0.307692307692308,5.23377991871143,5.40315889054061,8.21546696547188e-05,0.00489213705525453,0.00489213705525453,"ZFP36/MT-ND3/AQP1/RAN/ZFP36L2/ZFP36L1/FAM107A/GSTP1",8
