"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","contrast","celltype"
3.99461332719383e-60,-0.726427078282778,0.623,0.808,1.18915644137233e-55,"MT-CO1","AD_vs_Ctrl","Astrocyte"
2.26234851306516e-59,1.04854737708263,0.619,0.352,6.73478528854368e-55,"TLR4","AD_vs_Ctrl","Astrocyte"
2.98505618013762e-59,0.661406547512937,0.821,0.591,8.88621374265169e-55,"ITGB8","AD_vs_Ctrl","Astrocyte"
1.82551206466996e-56,0.942507088910839,0.725,0.468,5.43436686531601e-52,"PDK4","AD_vs_Ctrl","Astrocyte"
5.73418614034886e-55,0.879243234264638,0.664,0.411,1.70700987212045e-50,"PDE4DIP","AD_vs_Ctrl","Astrocyte"
1.25643120870049e-54,1.30642605068672,0.506,0.253,3.74027006518048e-50,"NDUFB2","AD_vs_Ctrl","Astrocyte"
9.91133449768349e-54,1.24425404063634,0.519,0.266,2.9505051666154e-49,"HSPA1B","AD_vs_Ctrl","Astrocyte"
5.33711975515575e-52,-1.89360884380022,0.103,0.316,1.58880717991231e-47,"SERPING1","AD_vs_Ctrl","Astrocyte"
8.98362655502364e-52,0.508139743281286,0.891,0.703,2.67433578916499e-47,"LRP4","AD_vs_Ctrl","Astrocyte"
9.76742598947936e-52,-2.35525340551848,0.09,0.289,2.90766504280811e-47,"IFIT1","AD_vs_Ctrl","Astrocyte"
1.96289938764768e-51,0.775656896689973,0.701,0.505,5.84335518708837e-47,"ZNF98","AD_vs_Ctrl","Astrocyte"
3.95304479376332e-51,1.5209803405169,0.417,0.176,1.1767819046554e-46,"AC104827.1","AD_vs_Ctrl","Astrocyte"
4.59653332485474e-51,0.773832898810102,0.742,0.527,1.36834200547601e-46,"MT1M","AD_vs_Ctrl","Astrocyte"
1.02919032300817e-50,1.67412376654093,0.374,0.134,3.06379667256302e-46,"LRP4-AS1","AD_vs_Ctrl","Astrocyte"
1.80172759354064e-50,0.916806517675001,0.63,0.4,5.36356287321112e-46,"IFRD1","AD_vs_Ctrl","Astrocyte"
5.6769351225405e-50,0.924510158733525,0.619,0.382,1.68996681662908e-45,"HDDC2","AD_vs_Ctrl","Astrocyte"
5.95834838566518e-50,-1.02037968543458,0.417,0.597,1.77374073092867e-45,"LRRC3B","AD_vs_Ctrl","Astrocyte"
1.14931559681803e-49,-2.49077563117664,0.069,0.254,3.42139760016759e-45,"MX1","AD_vs_Ctrl","Astrocyte"
2.60856440460139e-48,2.40770835966032,0.262,0.06,7.76543537605786e-44,"ADAM33","AD_vs_Ctrl","Astrocyte"
9.60927686345176e-48,1.03726972186834,0.563,0.323,2.86058562948096e-43,"ZBTB20-AS5","AD_vs_Ctrl","Astrocyte"
3.26177921004629e-47,2.01208536059319,0.307,0.095,9.7099905303868e-43,"MT1P3","AD_vs_Ctrl","Astrocyte"
9.25356729948383e-47,0.827961284672851,0.669,0.429,2.75469444938334e-42,"PCDH9-AS2","AD_vs_Ctrl","Astrocyte"
1.53781750753428e-46,0.794648006504511,0.667,0.435,4.57792893817879e-42,"TPCN1","AD_vs_Ctrl","Astrocyte"
3.91767955952724e-46,1.94707354270126,0.306,0.093,1.16625402807566e-41,"GADD45G","AD_vs_Ctrl","Astrocyte"
5.03188571211077e-46,1.51953419164353,0.388,0.163,1.49794205763825e-41,"MT1XP1","AD_vs_Ctrl","Astrocyte"
6.16452467010074e-46,0.646726000140418,0.786,0.53,1.83511734904229e-41,"HEPN1","AD_vs_Ctrl","Astrocyte"
1.02706383261467e-45,1.15298646584476,0.494,0.259,3.0574663233106e-41,"AC093879.1","AD_vs_Ctrl","Astrocyte"
1.55952717739521e-45,0.775049639919803,0.693,0.455,4.6425564543878e-41,"AC079385.1","AD_vs_Ctrl","Astrocyte"
1.92921417352284e-45,0.802725118858456,0.653,0.424,5.74307767316015e-41,"PPM1B","AD_vs_Ctrl","Astrocyte"
7.53444496554584e-45,-1.97104740953434,0.137,0.328,2.24292892179334e-40,"IFIT3","AD_vs_Ctrl","Astrocyte"
9.57852510654176e-45,-0.585143937222719,0.637,0.738,2.85143113896642e-40,"CNN3","AD_vs_Ctrl","Astrocyte"
1.41847973412093e-44,1.01100958924803,0.512,0.258,4.22267232050461e-40,"OLMALINC","AD_vs_Ctrl","Astrocyte"
1.64595817508967e-44,0.626206303440682,0.78,0.568,4.89985289142443e-40,"ACACB","AD_vs_Ctrl","Astrocyte"
1.86471477580886e-44,1.05735908973434,0.514,0.267,5.55106941610539e-40,"GRK3","AD_vs_Ctrl","Astrocyte"
6.21756039228404e-43,-0.671458763586791,0.631,0.752,1.85090555317903e-38,"VIM","AD_vs_Ctrl","Astrocyte"
1.08766805702768e-41,1.98118725876574,0.27,0.078,3.23787903896571e-37,"AC007193.2","AD_vs_Ctrl","Astrocyte"
1.08869161773245e-41,0.904478807730267,0.559,0.335,3.24092607682773e-37,"PDXDC1","AD_vs_Ctrl","Astrocyte"
1.92479109622062e-41,1.15999591052849,0.495,0.295,5.72991061433917e-37,"NDUFB4","AD_vs_Ctrl","Astrocyte"
2.12383182188144e-41,1.19406263665092,0.445,0.219,6.32243495055885e-37,"AC058791.1","AD_vs_Ctrl","Astrocyte"
2.29312572100724e-41,1.0127040921181,0.53,0.324,6.82640595886646e-37,"SLC39A12","AD_vs_Ctrl","Astrocyte"
4.97379018228237e-41,-0.926214165357357,0.506,0.624,1.48064759936364e-36,"SOD2","AD_vs_Ctrl","Astrocyte"
6.97817511604617e-41,0.914594916841763,0.556,0.337,2.07733295029579e-36,"RPL10","AD_vs_Ctrl","Astrocyte"
1.41062380010016e-40,-1.06318139590189,0.51,0.61,4.19928599051815e-36,"B2M","AD_vs_Ctrl","Astrocyte"
1.41532060525167e-40,0.627716366182951,0.715,0.514,4.21326790977371e-36,"HP1BP3","AD_vs_Ctrl","Astrocyte"
5.51849221140749e-40,1.43922250443672,0.375,0.17,1.6427999464139e-35,"RGCC","AD_vs_Ctrl","Astrocyte"
9.28804817795404e-40,-0.748870674376666,0.544,0.665,2.76495906209514e-35,"H3F3B","AD_vs_Ctrl","Astrocyte"
1.58121665992904e-39,-0.906251268369312,0.374,0.564,4.70712387494275e-35,"CIRBP","AD_vs_Ctrl","Astrocyte"
2.45165755123984e-39,1.5508361141847,0.315,0.114,7.29833936428589e-35,"MKLN1-AS","AD_vs_Ctrl","Astrocyte"
5.96964279765761e-39,0.631422294563286,0.712,0.514,1.77710296443469e-34,"FAM19A5","AD_vs_Ctrl","Astrocyte"
6.80612957157483e-39,-1.34049738291622,0.208,0.401,2.02611671216211e-34,"SLC39A14","AD_vs_Ctrl","Astrocyte"
8.83158864179763e-39,-1.90940413426389,0.084,0.252,2.62907562277674e-34,"BST2","AD_vs_Ctrl","Astrocyte"
1.05638057292789e-38,0.70917941929201,0.657,0.431,3.14473932754903e-34,"RFX2","AD_vs_Ctrl","Astrocyte"
1.29943852974383e-38,-0.567400218407889,0.639,0.779,3.8682985591944e-34,"MT-ND1","AD_vs_Ctrl","Astrocyte"
1.77853878476604e-38,1.87496088500774,0.27,0.086,5.29453210837003e-34,"AC023421.2","AD_vs_Ctrl","Astrocyte"
4.64119270531425e-38,1.21402577743674,0.416,0.205,1.381636656445e-33,"ANKUB1","AD_vs_Ctrl","Astrocyte"
4.75105251122619e-38,-0.574507936456173,0.669,0.75,1.41434082206693e-33,"TUBB2B","AD_vs_Ctrl","Astrocyte"
8.81690479255814e-38,0.870468477687349,0.565,0.35,2.62470438769663e-33,"AL160272.1","AD_vs_Ctrl","Astrocyte"
9.49444238651929e-38,0.566453429684636,0.768,0.566,2.82640055404293e-33,"SLC25A18","AD_vs_Ctrl","Astrocyte"
2.15356513257713e-37,0.825552220017017,0.57,0.363,6.41094804316887e-33,"THUMPD3-AS1","AD_vs_Ctrl","Astrocyte"
2.19172933453663e-37,1.23972259014071,0.383,0.177,6.52455905598209e-33,"SLC38A2","AD_vs_Ctrl","Astrocyte"
3.06370041433999e-37,0.892237121376315,0.545,0.328,9.1203297634487e-33,"RORA-AS1","AD_vs_Ctrl","Astrocyte"
3.10759814528917e-37,-1.80843736159644,0.112,0.285,9.25100891871134e-33,"NAMPT","AD_vs_Ctrl","Astrocyte"
1.00572886181472e-36,-1.11869028483253,0.256,0.452,2.99395424873623e-32,"TMBIM1","AD_vs_Ctrl","Astrocyte"
1.18879434223393e-36,-1.47858499540959,0.151,0.331,3.53892187739618e-32,"LAP3","AD_vs_Ctrl","Astrocyte"
3.06816151290794e-36,0.681128406088057,0.68,0.452,9.13361000777566e-32,"P2RY14","AD_vs_Ctrl","Astrocyte"
1.21124973348423e-35,-1.19992925825971,0.251,0.433,3.6057693316092e-31,"PPDPF","AD_vs_Ctrl","Astrocyte"
1.58603895317894e-35,1.20306339721677,0.421,0.227,4.72147935971837e-31,"UQCRQ","AD_vs_Ctrl","Astrocyte"
1.80967808585827e-35,0.633405605542114,0.758,0.639,5.38723069379147e-31,"DYNLL1","AD_vs_Ctrl","Astrocyte"
2.15266513956012e-35,-0.889468420578253,0.356,0.536,6.40826885395651e-31,"TXNIP","AD_vs_Ctrl","Astrocyte"
2.19805042231471e-35,1.00376974315138,0.436,0.219,6.54337630218866e-31,"NWD1","AD_vs_Ctrl","Astrocyte"
5.82000974510476e-35,0.955565147436212,0.458,0.246,1.73255870102024e-30,"AC241952.1","AD_vs_Ctrl","Astrocyte"
1.67091871345571e-34,1.1765338577021,0.393,0.19,4.97415791808631e-30,"C9orf84","AD_vs_Ctrl","Astrocyte"
2.25382127271282e-34,1.09026742804261,0.444,0.252,6.70940054673879e-30,"MRPL33","AD_vs_Ctrl","Astrocyte"
2.73825135221906e-34,0.760865868322879,0.592,0.373,8.15150045042091e-30,"MOB3B","AD_vs_Ctrl","Astrocyte"
2.91578264453199e-34,-0.963994928906646,0.316,0.509,8.67999335450728e-30,"AQP1","AD_vs_Ctrl","Astrocyte"
4.54834269364232e-34,0.787128712369613,0.587,0.36,1.35399613647038e-29,"COL5A3","AD_vs_Ctrl","Astrocyte"
5.75813848507758e-34,0.682637166393509,0.635,0.405,1.71414024562274e-29,"AP000462.1","AD_vs_Ctrl","Astrocyte"
2.06976665442702e-33,1.2827128037081,0.343,0.152,6.16148835356378e-29,"PTCH2","AD_vs_Ctrl","Astrocyte"
4.00872599878064e-33,0.523400195945679,0.763,0.589,1.19335764257701e-28,"GRAMD1C","AD_vs_Ctrl","Astrocyte"
4.59583441118228e-33,1.02378824970417,0.435,0.238,1.36813394586485e-28,"AHSA2","AD_vs_Ctrl","Astrocyte"
6.45015531588466e-33,1.05598658653246,0.457,0.269,1.9201467359857e-28,"RPS23P8","AD_vs_Ctrl","Astrocyte"
6.61453317671941e-33,0.819042957301186,0.612,0.474,1.9690803813776e-28,"ATP5E","AD_vs_Ctrl","Astrocyte"
8.17465501662425e-33,-1.23918416649903,0.231,0.405,2.43351305189887e-28,"PCSK1N","AD_vs_Ctrl","Astrocyte"
8.98729749758254e-33,0.581248872828645,0.693,0.521,2.67542859205535e-28,"WASF3","AD_vs_Ctrl","Astrocyte"
9.98644064660619e-33,1.57866958305685,0.275,0.103,2.9728635160882e-28,"AC012085.2","AD_vs_Ctrl","Astrocyte"
1.55157605792594e-32,-1.63408892716613,0.121,0.284,4.61888676683973e-28,"PARP14","AD_vs_Ctrl","Astrocyte"
3.76218390901552e-32,-1.64725585100356,0.154,0.312,1.11996452787483e-27,"RARRES3","AD_vs_Ctrl","Astrocyte"
3.88438839355037e-32,0.653696045595312,0.642,0.456,1.15634358087601e-27,"FAM182B","AD_vs_Ctrl","Astrocyte"
4.71727931596737e-32,0.759694427917185,0.575,0.372,1.40428687957033e-27,"PDGFRB","AD_vs_Ctrl","Astrocyte"
7.81770979767787e-32,0.939384953551725,0.467,0.267,2.32725402967072e-27,"FAM13C","AD_vs_Ctrl","Astrocyte"
1.06520556868125e-31,0.694062947520679,0.646,0.492,3.17101045740721e-27,"S100A1","AD_vs_Ctrl","Astrocyte"
1.53445401836378e-31,0.520786671556979,0.758,0.563,4.56791616726714e-27,"EYA2","AD_vs_Ctrl","Astrocyte"
1.60226481639319e-31,-1.79806160890689,0.079,0.223,4.76978213192088e-27,"HERC6","AD_vs_Ctrl","Astrocyte"
2.13436433646413e-31,-0.716515258843494,0.5,0.617,6.35378919322006e-27,"CEBPD","AD_vs_Ctrl","Astrocyte"
2.21341994149202e-31,-1.34897139441651,0.155,0.324,6.58912982382761e-27,"GADD45A","AD_vs_Ctrl","Astrocyte"
6.26269482354459e-31,0.503611243827679,0.768,0.591,1.86434162202099e-26,"PLPP1","AD_vs_Ctrl","Astrocyte"
6.68441994155259e-31,0.851193120013076,0.557,0.401,1.98988497240079e-26,"DBI","AD_vs_Ctrl","Astrocyte"
7.17966798252742e-31,0.82607229526644,0.49,0.287,2.13731536171859e-26,"GLRX","AD_vs_Ctrl","Astrocyte"
8.11116046099973e-31,-1.6147439600917,0.103,0.254,2.41461135763501e-26,"GALNT16","AD_vs_Ctrl","Astrocyte"
1.97547282253793e-30,-0.745954762213834,0.397,0.568,5.88078504541317e-26,"AC091826.2","AD_vs_Ctrl","Astrocyte"
2.19204696462801e-30,-1.11153153050123,0.213,0.389,6.52550460900111e-26,"RASD1","AD_vs_Ctrl","Astrocyte"
2.45308861439138e-30,0.614225111404653,0.672,0.528,7.30259949618171e-26,"PTMA","AD_vs_Ctrl","Astrocyte"
2.6799429666314e-30,1.0228131892863,0.381,0.188,7.97792221736501e-26,"HIP1R","AD_vs_Ctrl","Astrocyte"
4.00009661038282e-30,-1.22341577446628,0.229,0.392,1.19078875994486e-25,"SELENOM","AD_vs_Ctrl","Astrocyte"
6.42472259483255e-30,1.30600333186528,0.315,0.141,1.9125756692557e-25,"CACYBP","AD_vs_Ctrl","Astrocyte"
7.54963683298332e-30,-1.66135771323082,0.147,0.3,2.2474513888108e-25,"WARS","AD_vs_Ctrl","Astrocyte"
